Company Name	Majors Recruited	Work Authorization Desired	Position Types	Table
Rexnord Industries, Inc.	Civil Engineering, Engineering Management-GR Only, Electrical Engineering, Mechanical Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa	Internship/Externship, Full Time, Part Time, Co-op	14
Rose-Hulman Ventures	All Majors	None	Internship/Externship	2
Simonton Windows	Engineering Management-GR Only, Biomedical Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time	50
Smith & Burgess LLC	Chemical Engineering	US Citizen, Permanent Resident	Full Time	4
Software Engineering Professionals, Inc. (SEP)	Computer Science, Computer Engineering, Software Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time, Co-op	20
Spensa Technologies, Inc.	Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering	None	Internship/Externship, Full Time	25
SS&C Technologies	Computer Engineering, Software Engineering	US Citizen	Internship/Externship, Full Time	17
State Collection Service, Inc	Computer Science, Computer Engineering	US Citizen	Full Time	18
Tangent Labs	Math, Mechanical Engineering, Physics, Software Engineering, Electrical and Computer Engineering	None	Internship/Externship, Full Time, Part Time	55
TCC Software Solutions	Computer Engineering, Computational Science	US Citizen, Permanent Resident	Internship/Externship, Full Time	16
The HallStar Company	Chemical Engineering, Chemistry	US Citizen	Full Time	6
Theoris	Computer Science, Mechanical Engineering, Computer Engineering, Software Engineering, Computational Science	US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa	Internship/Externship, Full Time, Co-op	30
Thompson Thrift	Civil Engineering	US Citizen	Internship/Externship	12
Triumph Controls-Shelbyville, IN	Electrical Engineering, Mechanical Engineering	US Citizen	Full Time	42
TRW Automotive	Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time, Co-op	28
U.S. Department of State-Bureau of Diplomatic Security	All Majors	US Citizen	Internship/Externship, Full Time	3
United States Air Force	Math, Chemistry, Electrical Engineering, Mechanical Engineering, Computer Engineering, Physics, Engineering Physics, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time	51
Vogt Power International	Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering	US Citizen	Full Time, Co-op	7
WDD Software Solutions	Computer Science, Computer Engineering, Software Engineering	US Citizen, Permanent Resident	Internship/Externship	21
Wolf Technical Services	Mechanical Engineering, Biomedical Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time	62
Wynright	Civil Engineering, Mechanical Engineering, Software Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time, Co-op	15
